Question,Answer,class
Is there any openings for ( Keywords ),"Please visit sumasoft career page, then go to come work with us and submit your resume.",job enquiry
"Hello,I am a (Designation).I would like to work with you.","Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
"My name is (Name), and I am writing to inquire about any job vacancies that might be available.","Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
"What precisely does Suma Soft Company do, may I ask?",May I know your purpose? ,job enquiry
I am looking for an IT-related job.,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Do (Keyword) have a job there as well?,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
What basically Suma soft it works for,May I know your purpose? ,job enquiry
Looking job in suma soft ,"Please visit the sumasoft career page, work with us and submit your resumeThank you for visiting us .",job enquiry
Hello I am (Name) From (City) currently (Education). I want to know about their is any Job Requirement In This Company for (Education),"Please visit sumasoft career page, then go to ""come work with us"" and submit your resume.If there is any vacancy, we will get back to you.",job enquiry
Hello I am (Name) From (City) currently (Education). I want to know about their is any Job Requirement In This Company for (Education),"Please visit sumasoft career page, then go to ""come work with us"" and submit your resume",job enquiry
,,
Can you send me the link,https://www.sumasoft.com/careers/,job enquiry
,,
Any job vacancy for freshers,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Any vacancy for freshers (Field),"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Job opportunities for  (Field) job for freshers,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
I am looking for job opportunity,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
looking for job opportunity,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
I did (Education) looking for good opportunity,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Complete  (Education) looking for good opportunity,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Job opportunities for (Field) job for freshers,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
I'm looking for job as (Keyword),"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Looking for job as (Keyword),"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Are you providing internship?,"Please visit the sumasoft career page, work with us and submit your resume.If there is any vacancy, we will get back to you soon .",job enquiry
"Already did a few days ago, but no response ",Please drop your CV to itrecruiters@sumasoft.net,job enquiry
"Okay, when will I receive information about the job opening from HR?","If there is any vacancy, we will get back to you soon .",job enquiry
is there walk in drive available..?,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Is there a walk-in drive available? I have seen your post on social media ,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
I am interested working with sumasoft company i am (keyword) i have ( Work experience ) do you have openings for ( Keyword ),"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Thank you . ,Have a good day !,job enquiry
I'm interested in job for Associate prior authorization in sumacentre,"Please visit the sumasoft career page, work with us and submit your resume.Thank you for visiting us .",job enquiry
am a( Educational year ) IT student ( University ) (City )and I am enthusiastic about pursuing an internship opportunity in the field of (Keywords). I am reaching out to inquire if suma software. has any upcoming internship openings in the areas of (Keyword).,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
am a( Educational year ) IT student ( University ) (City )and I am enthusiastic about pursuing an internship opportunity in the field of (Keywords). I am reaching out to inquire if suma software. has any upcoming internship openings in the areas of (Keyword).,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Is there any openings for freshers in ISO 27001,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
About job requirements,"Please visit the sumasoft career page, work with us and submit your resume.Thank you for visiting us .",job enquiry
could you please share your hr mail id,Okay Sure. Please drop your CV to itrecruiters@sumasoft.net,job enquiry
Looking for an job opening . ,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
"I have already submitted my resume here, but there has been no response. Share your hr mail id .",Okay Sure. Please drop your CV to itrecruiters@sumasoft.net,job enquiry
"I’m (Education),I want internship in your company if there any vacancy please tell me about that","Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
"I’m (Education),I want internship in your company","Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Link or website of company to apply for jobs?,https://www.sumasoft.com/careers/ .Thank you for visiting us. Have a good day!!,job enquiry
Can you share link ,https://www.sumasoft.com/careers/,job enquiry
Direct interview is possible or not?,"I'm not able to provide that information, I apologize for the inconvenience.Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Just tell is direct interview avaliable or not ?,"I'm not able to provide that information, I apologize for the inconvenience.Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Hello my name is (Name) I want work with (Location) (Keyword) I have regional language kannada if any vacancy,"Please visit the sumasoft career page, work with us and submit your resume.Thank you for visiting us .",job enquiry
Is there any vacancy for freshers in (Location) Suma soft ,"Please visit the sumasoft career page, work with us and submit your resume.Thank you for visiting us .",job enquiry
"Getting answer automatically is magic!! its real AI (remember, the Turing Test?)","This project is a Simple Question-Answer (atomic query) based chatbot framework. Uses similarity based on different vectorizers, to find the matching question then responds with its corresponding answer.",job enquiry
Are you providing internship?,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
There is no option for submit the resume,Please drop your CV to hr@sumasoft.net itrecruiters@sumasoft.net,job enquiry
Could you please share your hr mail id,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Need job in your company ,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
I am fresher any job vacancy are available I have completed graduation with specialization of computer engineering,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Can i get internship from you with salary,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
"Good Afternoon sir/mam I have come to know that there vacancy for (Keyword) as a fresher in your company in(Location) So, I want to confirm that there is still vacancy in your company in that field.if is that so than give details of how to apply. Thank you","Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Aapke company vacancy he kya,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
I am looking for a job change,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
what is process to hiring in sumasoft pv.ltd,"Please visit the sumasoft career page, work with us and submit your resume.Thank you for visiting us .",job enquiry
Looking for a Work From Home job,"Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
"Hi, so I'm a college going student who is looking for an internship. I've come across your company through a friend of mine, so can you please let me know if the company is open for students and other details of it.","Please visit the sumasoft career page, work with us and submit your resume.",job enquiry
Is there any openings for ( Keywords ),"Please visit the sumasoft career page, work with us and submit your resume.Thank you for visiting us .",job enquiry
,,
"From (Company name) ,we are give the training to Academic students & we are having highly trained candidates in full(Keywords) for more details please contact us on (Contact number)","Not at this moment if we required in future , we will let you know . Thank you for reaching out .",Company Enquire
"Do you need funding quickly to re-invest in your business? If the banks say “no,” National Business Capital provides a great alternative.

We can give you preliminary approval and funds as soon as (Time). It’s a straightforward process with no surprises or unnecessary red tape.

You will need revenues that average (Price) (Months) or more to qualify.","Not at this moment if we required in future , we will let you know . Thank you for reaching out .",Company Enquire
"Our freshly Certified Students need (Keyword) Industries visit, it would be great opportunity to understand Actual (Keyword) domain with Suma Soft","Not at this moment if we required in future , we will let you know . Thank you for reaching out .",Company Enquire
,,
Will you share recording of todays webinar and presentation ?,kindly share your email address and contact number we will share with you the webinar link, webinar enquire
Can you provide todays webinar and presentation recording ,kindly share your email address and contact number we will share with you the webinar link, webinar enquire
Link to webinar,kindly share your email address and contact number we will share with you the webinar link, webinar enquire
Need a link for Webniar to join ,kindly share your email address and contact number we will share with you the webinar link, webinar enquire
I registered for a webinar but never received any intimation about successful registration. Require support.,"Okay, can you please try again sometime? Maybe there is a network issue.", webinar enquire
I registered for a webinar but not recevied any confirmation ,kindly share your email address and contact number we will share with you the webinar link, webinar enquire
I have already done it. Can you please provide the link?,One of our experts will share you the link ., webinar enquire
registration form is not summited,kindly share your email address and contact number we will share with you the webinar link, webinar enquire
,,
Hero login error ,Please contact the Tech Support team at techsupport-services@sumasoft.net,Tech support enquire
Dusmile and  Hero Forget I'd and password,Please contact the Tech Support team at techsupport-services@sumasoft.net,Tech support enquire
Login issue ,Please contact the Tech Support team at techsupport-services@sumasoft.net,Tech support enquire
I can't open in my apps,Please contact the Tech Support team at techsupport-services@sumasoft.net,Tech support enquire
Dg kyc I'd and password,Please contact the Tech Support team at techsupport-services@sumasoft.net,Tech support enquire
Username or password invalid Bata raha he,Please contact the Tech Support team at techsupport-services@sumasoft.net,Tech support enquire
Desktop is locaked showing wrong password . ,Please contact the Tech Support team at techsupport-services@sumasoft.net,Tech support enquire
Desktop is locked ,Please contact the Tech Support team at techsupport-services@sumasoft.net,Tech support enquire
